,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,port alfred,0,ZA,1593654426,68,-33.59,26.89,15.56,2.13
1,tigil,80,RU,1593654426,45,57.8,158.67,18.26,3.22
2,caravelas,15,BR,1593654426,89,-17.71,-39.25,22.95,3.63
3,saldanha,0,ZA,1593654426,93,-33.01,17.94,10.0,2.6
4,cape town,33,ZA,1593654427,100,-33.93,18.42,12.22,0.5
5,vaini,75,TO,1593654427,69,-21.2,-175.2,24.0,4.1
6,wyndham,75,US,1593654427,94,37.7,-77.61,22.22,1.5
7,bengkulu,100,ID,1593654428,85,-3.8,102.27,23.93,1.63
8,ribeira grande,12,PT,1593654428,72,38.52,-28.7,18.29,3.35
9,castro,58,BR,1593654428,89,-24.79,-50.01,5.78,2.05
10,huty,0,UA,1593654428,85,50.13,35.34,16.61,0.68
11,maningrida,25,AU,1593654429,52,-12.07,134.27,27.61,4.83
12,ponta do sol,40,PT,1593654429,68,32.67,-17.1,22.0,4.1
13,clyde river,75,CA,1593654429,86,70.47,-68.59,4.0,2.1
14,mataura,2,NZ,1593654430,76,-46.19,168.86,8.25,1.07
15,rikitea,0,PF,1593654430,68,-23.12,-134.97,20.87,9.8
16,cabo san lucas,40,MX,1593654430,83,22.89,-109.91,27.22,2.6
17,tibati,60,CM,1593654430,95,6.47,12.63,18.72,0.8
18,hobart,75,AU,1593654157,76,-42.88,147.33,11.67,5.1
19,lavrentiya,100,RU,1593654431,95,65.58,-171.0,6.63,8.02
20,bethel,90,US,1593654431,93,41.37,-73.41,19.44,0.89
21,ulaangom,0,MN,1593654431,47,49.98,92.07,22.66,3.53
22,korla,79,CN,1593654432,67,41.76,86.15,24.44,6.02
23,port blair,75,IN,1593654432,88,11.67,92.75,26.0,2.6
24,port hedland,37,AU,1593654432,24,-20.32,118.57,26.0,6.7
25,gat,0,IL,1593654180,56,31.61,34.76,21.67,1.34
26,dunedin,15,NZ,1593654368,74,-45.87,170.5,8.33,4.02
27,atuona,29,PF,1593654434,77,-9.8,-139.03,26.91,9.64
28,busselton,24,AU,1593654434,75,-33.65,115.33,11.67,1.49
29,vao,0,NC,1593654435,55,-22.67,167.48,20.15,6.04
30,yerbogachen,93,RU,1593654435,43,61.28,108.01,25.01,2.29
31,tiksi,30,RU,1593654436,67,71.69,128.87,6.67,3.58
32,ochamchira,0,GE,1593654436,85,42.71,41.47,19.92,1.3
33,ballina,20,AU,1593654437,53,-28.87,153.57,22.0,1.0
34,sitka,20,US,1593654437,72,57.05,-135.33,16.0,7.7
35,albany,60,US,1593654376,84,42.6,-73.97,20.56,1.55
36,barrow,75,US,1593654437,81,71.29,-156.79,6.0,5.1
37,puerto escondido,100,MX,1593654438,75,15.85,-97.07,27.5,1.49
38,bluff,21,NZ,1593654438,72,-46.6,168.33,8.45,2.1
39,east london,52,ZA,1593654438,32,-33.02,27.91,17.51,2.28
40,ushuaia,34,AR,1593654439,92,-54.8,-68.3,-3.0,2.1
41,cidreira,28,BR,1593654439,81,-30.18,-50.21,11.82,7.27
42,samarai,86,PG,1593654439,80,-10.62,150.67,25.41,8.23
43,sept-iles,75,CA,1593654340,56,50.2,-66.38,23.0,1.5
44,tuktoyaktuk,90,CA,1593654440,86,69.45,-133.04,5.0,5.1
45,saint-philippe,75,RE,1593654440,88,-21.36,55.77,19.0,2.6
46,dikson,100,RU,1593654440,98,73.51,80.55,4.28,8.15
47,punta arenas,17,CL,1593654338,95,-53.15,-70.92,1.0,4.1
48,seoul,90,KR,1593654186,73,37.57,126.98,24.0,1.2
49,mitsamiouli,80,KM,1593654442,70,-11.38,43.28,24.78,7.37
50,malakal,98,SS,1593654442,79,9.53,31.66,24.37,1.96
51,marsa matruh,40,EG,1593654442,94,31.35,27.25,21.0,4.67
52,dong xoai,73,VN,1593654209,87,11.53,106.92,27.3,2.04
53,hermanus,60,ZA,1593654443,97,-34.42,19.23,7.22,2.84
54,jian,99,CN,1593654443,76,27.12,114.98,30.23,3.59
55,kahului,20,US,1593654444,46,20.89,-156.47,32.0,11.8
56,sao filipe,26,CV,1593654444,84,14.9,-24.5,22.96,2.4
57,jamestown,1,US,1593654444,68,42.1,-79.24,22.0,2.6
58,kyle,20,US,1593654444,66,30.0,-97.87,31.0,5.1
59,martapura,20,ID,1593654445,70,-3.42,114.85,30.0,3.6
60,lusambo,2,CD,1593654445,71,-4.97,23.45,20.61,0.64
61,shirokiy,0,RU,1593654445,78,49.76,129.52,21.42,3.6
62,bredasdorp,25,ZA,1593654446,100,-34.53,20.04,7.0,1.5
63,kiunga,98,PG,1593654446,80,-6.12,141.29,27.47,1.16
64,souillac,40,MU,1593654446,73,-20.52,57.52,22.0,5.1
65,vallenar,66,CL,1593654446,28,-28.57,-70.76,18.01,1.16
66,esperance,90,AU,1593654447,100,-33.87,121.9,11.0,4.1
67,waipawa,98,NZ,1593654447,87,-41.41,175.52,8.0,15.9
68,la ronge,40,CA,1593654447,88,55.1,-105.28,18.0,3.6
69,georgetown,20,MY,1593654404,88,5.41,100.34,29.0,1.5
70,hilo,20,US,1593654186,62,19.73,-155.09,29.0,4.1
71,tual,8,ID,1593654448,80,-5.67,132.75,26.19,8.99
72,san juan bautista,40,PE,1593654448,82,-14.01,-75.74,16.0,4.6
73,vardo,90,NO,1593654449,89,70.37,31.11,8.88,9.99
74,poso,23,ID,1593654449,58,-1.4,120.75,30.14,0.54
75,sacalaz,0,RO,1593654449,93,45.76,21.11,19.0,3.6
76,yellowknife,90,CA,1593654449,87,62.46,-114.35,16.67,10.3
77,tyup,21,KG,1593654450,51,42.73,78.36,16.53,1.16
78,bintulu,20,MY,1593654450,88,3.17,113.03,27.0,2.1
79,wasilla,1,US,1593654309,35,61.58,-149.44,23.0,2.1
80,narsaq,99,GL,1593654451,66,60.92,-46.05,9.0,2.1
81,haines junction,24,CA,1593654451,25,60.75,-137.51,20.17,2.23
82,butaritari,3,KI,1593654451,74,3.07,172.79,27.95,4.3
83,sassandra,75,CI,1593654451,83,4.95,-6.08,23.89,2.42
84,constitucion,7,CL,1593654452,84,-35.33,-72.42,10.15,2.0
85,kungurtug,0,RU,1593654452,40,50.6,97.52,21.73,5.35
86,ayagoz,36,KZ,1593654452,38,47.97,80.44,22.42,3.38
87,lebu,63,CL,1593654453,90,-37.62,-73.65,9.64,1.57
88,santona,90,ES,1593654453,100,43.44,-3.46,16.67,2.08
89,kodiak,1,US,1593654453,72,57.79,-152.41,15.0,2.6
90,ancud,75,CL,1593654454,100,-41.87,-73.82,9.44,4.1
91,fairbanks,90,US,1593654333,39,64.84,-147.72,17.22,2.1
92,sharon,20,US,1593654455,57,41.23,-80.49,24.0,1.5
93,geraldton,0,AU,1593654456,71,-28.77,114.6,14.0,5.7
94,ossora,2,RU,1593654456,42,59.24,163.07,14.41,7.9
95,kasongo-lunda,19,CD,1593654457,48,-6.47,16.82,19.38,0.42
96,miri,20,MY,1593654457,88,4.41,114.01,28.0,1.5
97,aklavik,90,CA,1593654457,71,68.22,-135.01,10.0,2.6
98,sistranda,20,NO,1593654457,87,63.73,8.83,6.0,3.1
99,chokurdakh,0,RU,1593654458,39,70.63,147.92,14.03,6.37
100,rio grande,68,BR,1593654458,91,-32.03,-52.1,8.89,2.68
101,saint george,1,US,1593654322,12,37.1,-113.58,34.44,7.7
102,mar del plata,75,AR,1593654385,93,-38.0,-57.56,7.78,3.1
103,jijiga,100,ET,1593654459,78,9.35,42.8,16.9,9.37
104,airai,26,TL,1593654459,39,-8.93,125.41,21.13,2.04
105,khatanga,100,RU,1593654459,69,71.97,102.5,11.8,9.37
106,rakai,79,UG,1593654460,64,-0.72,31.48,18.42,2.08
107,petrovsk,21,RU,1593654460,90,52.31,45.39,15.67,2.03
108,pukhrayan,75,IN,1593654460,49,26.23,79.85,34.02,0.58
109,tasiilaq,100,GL,1593654461,93,65.61,-37.64,4.0,0.5
110,san quintin,0,MX,1593654461,75,30.48,-115.95,18.98,5.2
